"name","rating","year","month","revenue","profit"
"Domino's Pizza USA","4.7","10.5","126","1260000","1109000"
"Egg, Inc.","4.7","10.5","126","1260000","1109000"
"PewDiePie's Tuber Simulator","4.8","10.5","126","1260000","1109000"
"Bible","4.5","10","120","1200000","1055000"
"Choices: Stories You Play","4.5","10","120","1200000","1055000"
"Clash of Clans","4.5","10","120","1200000","1055000"
"Chase Mobile","4.5","10","120","1200000","1055000"
"Cooking Fever","4.5","10","120","1200000","1055000"
"Disney Crossy Road","4.5","10","120","1200000","1055000"
"Clash Royale","4.5","10","120","1200000","1055000"
